0 3 0 1 0 0 0
1 0 0 0 0 0 0
2 0 0 0 0 0 0
3 0 0 0 0 0 0
4 0 0 0 0 0 0
5 0 0 0 0 0 0
6 0 0 0 0 0 0
7 0 0 0 0 0 0
8 0 0 0 0 0 0
9 0 0 0 0 0 0
10 0 1 0 0 0 0
11 0 0 0 0 0 0
12 0 0 0 0 0 0
13 0 0 0 0 0 0
14 0 0 0 0 0 0
15 0 0 0 0 0 0
16 0 0 0 0 0 0
17 0 0 0 0 0 0
18 0 0 0 0 0 0
19 0 0 0 0 0 0
20 0 0 1 0 0 0
21 0 0 0 0 0 0
22 0 0 0 0 0 0
23 0 0 0 0 0 0
24 0 0 0 0 0 0
25 0 0 0 0 0 0
26 0 0 0 0 0 0
27 0 0 0 0 0 0
28 0 0 0 0 0 0
29 0 0 0 0 0 0
30 0 0 0 0 0 0
31 0 0 1 0 0 0
32 0 0 0 0 0 0
33 0 0 0 0 0 0
34 0 0 0 0 0 0
35 0 0 0 0 0 0
36 0 0 0 0 0 0
37 0 0 0 0 0 0
38 0 0 0 0 0 0
39 0 0 0 0 0 0
40 1 0 1 0 0 0
41 0 1 0 0 0 0
42 0 0 0 0 0 1
43 0 0 0 0 0 0
44 0 0 0 0 0 0
45 0 0 0 0 0 0
46 0 0 0 0 0 0
47 0 0 0 0 0 0
48 1 0 0 0 0 0
49 0 0 1 0 0 0
50 1 0 1 0 0 0
51 0 1 0 0 0 0
52 0 0 1 0 0 1
53 1 0 0 0 0 0
54 1 1 1 0 0 1
55 0 0 1 0 0 1
56 0 2 2 0 0 1
57 0 0 1 0 0 0
58 1 0 1 0 0 0
59 1 0 0 0 0 0
60 1 1 2 0 0 1
61 2 2 4 0 0 3
62 3 1 1 0 0 0
63 2 1 1 0 0 2
64 3 1 2 0 0 0
65 2 1 2 0 0 2
66 0 0 1 0 0 0
67 1 2 0 0 0 4
68 0 4 2 0 0 1
69 0 1 2 0 0 1
70 1 2 2 0 0 3
71 0 5 2 0 0 1
72 0 2 3 0 0 0
73 0 1 1 0 0 2
74 3 0 0 0 0 2
75 2 2 1 0 0 2
76 1 0 1 0 0 3
77 8 2 1 0 0 0
78 0 1 2 0 0 3
79 1 0 1 0 0 1
80 3 1 2 0 0 1
81 1 2 1 0 0 0
82 1 2 3 0 0 0
83 1 0 3 0 0 7
84 2 3 3 0 0 1
85 5 3 1 0 0 0
86 4 1 3 0 0 1
87 1 3 3 0 0 0
88 4 0 3 0 0 3
89 0 3 5 0 0 3
90 1 3 1 0 0 5
91 1 2 4 0 0 2
92 1 1 5 0 0 4
93 0 5 3 0 0 0
94 5 2 1 0 0 3
95 3 2 6 0 0 3
96 9 5 1 0 0 5
97 5 3 4 0 0 2
98 4 3 8 0 0 5
99 1 3 5 0 0 0
100 11 0 2 0 0 6
101 2 5 2 0 0 2
102 8 7 7 0 0 7
103 6 4 8 0 0 5
104 5 4 4 0 0 4
105 2 6 5 0 0 3
106 1 4 6 0 0 5
107 4 6 4 0 0 4
108 3 2 4 0 0 3
109 6 3 6 0 0 3
110 4 6 3 0 0 7
111 3 6 4 0 0 2
112 4 3 8 0 0 6
113 3 4 4 0 0 3
114 6 7 5 0 0 6
115 5 2 5 0 0 6
116 3 5 7 0 0 4
117 6 5 7 0 0 7
118 4 4 3 0 0 2
119 5 6 7 0 0 2
120 7 4 6 0 0 7
