0 779 782 7983 0 0 778
1 0 1 527 0 0 1
2 0 0 585 0 0 0
3 0 0 572 0 0 0
4 1 0 529 0 0 0
5 0 0 578 0 0 0
6 0 1 539 0 0 0
7 0 0 571 0 0 0
8 0 0 552 0 0 0
9 1 0 570 0 0 0
10 0 1 515 0 0 0
11 0 0 499 0 1 0
12 0 1 504 0 0 0
13 0 0 482 0 7 0
14 0 0 440 0 18 2
15 0 3 403 0 64 0
16 2 2 425 0 204 1
17 2 5 445 0 374 2
18 2 3 472 0 503 0
19 3 9 429 0 606 1
20 1 21 594 0 783 5
21 3 31 785 0 755 10
22 6 50 824 0 875 32
23 12 82 912 0 623 2
24 28 112 1189 0 663 67
25 5 97 1351 0 872 136
26 53 170 1802 0 1015 170
27 109 181 2083 0 993 27
28 118 182 2626 0 1024 159
29 19 131 3483 1 700 143
30 107 163 4463 0 1134 55
31 75 213 4111 0 1231 93
32 52 205 4682 0 951 143
33 108 322 4682 0 654 193
34 104 453 4875 0 678 105
35 108 670 4752 0 706 215
36 111 1103 4704 0 713 373
37 318 1445 5452 0 523 547
38 450 1917 4913 0 279 151
39 516 2218 6275 0 336 537
40 443 2378 5636 0 401 867
41 763 2408 6601 0 358 942
42 980 3073 5983 0 388 284
43 1090 2977 7288 0 230 1039
44 627 3006 6441 0 151 1028
45 961 2924 7976 0 285 676
46 964 2821 7972 0 200 539
47 1021 3070 7312 0 126 965
48 1269 3099 7357 0 94 1485
49 1100 3135 6238 0 99 683
50 1112 3567 6395 0 130 1421
51 1238 3542 5434 0 104 1827
52 1410 3431 4836 0 85 2497
53 1434 3820 4608 0 51 782
54 1287 3769 4318 0 74 2590
55 1889 4015 4276 0 77 3758
56 2251 3322 4238 1 80 4104
57 2754 3781 4317 0 99 836
58 2322 4328 4114 0 41 4020
59 2362 4709 4003 1 46 5441
60 2310 3492 3679 0 81 4762
61 3598 3661 3918 0 88 853
62 3697 3019 3850 0 62 4006
63 3292 2767 3996 0 55 4134
64 2483 2932 3736 0 41 2997
65 4729 2541 3885 0 67 1710
66 4643 2189 4939 0 62 3584
67 4034 2267 5133 0 58 4084
68 2344 2026 4849 0 41 2227
69 2955 2014 5077 0 35 2401
70 2792 1993 5507 0 57 3503
71 3057 1828 5033 0 75 4354
72 2744 1654 5694 0 69 2058
73 2709 1768 5157 0 37 3056
74 3130 1836 5022 0 59 4863
75 3163 1783 4203 0 108 4679
76 3814 1986 4487 0 115 2208
77 2971 2136 3871 0 103 4092
78 3411 1981 2823 0 67 5556
79 3269 2425 3201 0 130 4175
80 4133 2300 2156 0 245 2967
81 4523 2419 2282 0 656 4620
82 3813 2687 1735 0 534 6174
83 3879 2445 1598 0 487 3958
84 4029 2667 1366 0 845 3147
85 5153 3172 1329 0 1791 5512
86 4641 3099 1190 0 3203 6659
87 4139 3090 1135 3 3456 3812
88 3796 4149 1198 17 1603 4334
89 4278 4219 1136 12 1968 6420
90 4515 4066 1047 75 2589 7778
91 4459 3992 1010 182 3093 3211
92 3410 4994 1061 302 3060 5188
93 4160 5105 971 286 1661 6650
94 5220 3946 1000 378 2872 6256
95 3859 4455 1031 698 4517 3486
96 5136 4446 989 764 6877 4358
97 3805 3725 967 466 7891 7211
98 4229 3885 978 740 4985 5169
99 4276 3746 1005 936 4302 3619
100 3838 3520 922 1333 7636 5275
101 4662 2733 1017 1105 8594 6598
102 4580 2871 877 539 6834 3604
103 4196 2794 1059 1321 3931 3459
104 4172 2578 820 1779 6249 4728
105 4564 2372 855 1036 8293 4985
106 4219 2399 801 1394 11396 1839
107 2916 2209 819 989 10978 2567
108 3327 1904 791 2715 8847 3414
